1,Martin Garrix
2,David Guetta
3,Dimitri Vegas & Like Mike
4,Alok
5,Armin Van Buuren
6,Afrojack
7,Steve Aoki
8,Timmy Trumpet
9,Don Diablo
10,Oliver Heldens
11,Vintage Culture
12,KSHMR
13,R3hab
14,Charlotte de Witte
15,TiÃ«sto
16,Calvin Harris
17,Alan Walker
18,W&W
19,Fedde Le Grand
20,Nicky Romero
21,Vini Vici
22,Carl Cox
23,Skrillex
24,Peggy Gou
25,GORDO
26,Marshmello
27,Bassjackers
28,Lost Frequencies
29,Eric Prydz
30,Above & Beyond
31,Claptone
32,Jamie Jones
33,Quintino
34,Mariana Bo
35,Tujamo
36,Danny Avila
37,Amelie Lens
38,Paul van Dyk
39,Black Coffee
40,Nervo
41,Ummet Ozcan
42,ATB
43,Hardwell
44,DJ Snake
45,VINAI
46,The Chainsmokers
47,Alison Wonderland
48,FISHER
49,Reinier Zonneveld
50,Deborah De Luca
51,Adam Beyer
52,Blasterjaxx
53,Beauz
54,Diego Miranda
55,REZZ
56,MORTEN
57,Nora En Pure
58,Zedd
59,Carta
60,Julian Jordan
61,Boris Brejcha
62,Will Sparks
63,Angerfist
64,Alesso
65,Deadmau5
66,Cat Dealers
67,Joel Corry
68,Brennan Heart
69,Topic
70,KAAZE
71,Tom & Collins
72,Plastik Funk
73,Kura
74,Naeleck
75,Pink Panda
76,Burak Yeter
77,Swedish House Mafia
78,MATTN
79,Breathe Carolina
80,Ofenbach
81,Tungevaag
82,Green Velvet
83,22Bullets
84,Lucas & Steve
85,Mr Pig
86,Aryue
87,Ferry Corsten
88,Solomun
89,Miss K8
90,Honey Dijon
91,Acraze
92,Le Twins
93,Dubdogz
94,Rave Republic
95,KAKA
96,Sunnery James & Ryan Marciano
97,Maya Jane Coles
98,Jay Hardway
99,Cuebrick
100,The Martinez Brothers
